v2Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name Code,Extraction reagents/formulation,Extraction Ratio (Soil:Extractant),Extraction Basis,Extraction Time,Analyte Measurement,Analyte Measurement Code,Observation Category,Reporting Unit,Reporting Unit Code,Acceptance,Status,Organization,Citation
L_MODV2_SOIL_CL_012,SOIL,chloride,CL,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Chloridometer,CHLORIDOMETER,MEASURED,meq/L,meq1l-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_CL_013,SOIL,chloride,CL,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/L,mg1L-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_CL_014,SOIL,chloride,CL,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,meq/L,meq1l-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_CL_015,SOIL,chloride,CL,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Ion Chromatography,ION_CHROMATOGRAPHY,MEASURED,meq/L,meq1l-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_CL_016,SOIL,chloride,CL,Slurry,SLURRY,"DI water, subsequent extraction and retained for analysis, titration with Hg Thiocyanate",1:05,m/m,4 hrs,Titration,TITRATION,MEASURED,meq/L,meq1l-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CL_017,SOIL,chloride,CL,Slurry,SLURRY,"DI water, subsequent extraction and retained for analysis, titration with AgNO3",1:05,m/m,4 hrs,Titration,TITRATION,MEASURED,meq/L,meq1l-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CL_018,SOIL,chloride,CL,,,1:05,1:05,m/m,,,,MEASURED,meq/L,meq1l-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CL_019,SOIL,chloride,CL,,,1:05,1:05,m/m,,Chloridometer,CHLORIDOMETER,MEASURED,meq/L,meq1l-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CL_020,SOIL,chloride,CL,,,1:05,1:05,m/v,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,meq/L,meq1l-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CR_001,SOIL,chromium,CR,Aqua Regia,AQUA_REGIA,Aqua Regia (3:1 mixture of hydrochloric (HCl) and nitric (HNO3) acids),1:10,m/v,20 min,ICP-OES / ICP-MS,ICP-OES_ICP-MS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,ISO,ISO standard 11466 or EPA 3051A
L_MODV2_SOIL_CR_002,SOIL,chromium,CR,EPA 3050A/B,EPA_3050A_B,"EPA 3050A/B Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_CR_003,SOIL,chromium,CR,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_CR_004,SOIL,chromium,CR,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_CR_005,SOIL,chromium,CR,,,EPA 3050 Digestion Acid Recoverable,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CR_006,SOIL,chromium,CR,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,,
L_MODV2_SOIL_CLAY_001,SOIL,clay,CLAY,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m, ,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_CLAY_002,SOIL,clay,CLAY,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Laser Diffraction,1:20 (varies),m/m,5 min,Diffraction,DIFFRACTION,MEASURED,%,prcnt,PROVISIONAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 286-288."
L_MODV2_SOIL_CLAY_003,SOIL,clay,CLAY,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sedimentation / Hydrometer,1:20 (varies),m/m,Varies,Hydrometer,HYDROMETER,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 278-283."
L_MODV2_SOIL_CLAY_004,SOIL,clay,CLAY,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sedimentation / Pipette / Weigh,1:20 (varies),m/m,5 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 272-278."
L_MODV2_SOIL_CO2RESP_001,SOIL,CO2 respiration,CO2RESP,Respiration,RESPIRATION,Solvita 24 Respiration,,,24 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,CALCULATION,mg/kg,mg1kg-1,PROVISIONAL,SUPERSEDED,,"Woods End Laboratories, Mt. Vernon, ME."
L_MODV2_SOIL_CO2RESP_002,SOIL,CO2 respiration,CO2RESP,Short Term Carbon Mineralization,SHORT_TERM_CARBON_MINERALIZATION,KOH,N/A,mmhos,4 days,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,SUPERSEDED,USDA,https://directives.sc.egov.usda.gov/OpenNonWebContent.aspx?content=44475.wba page 9
L_MODV2_SOIL_CO2RESP_003,SOIL,CO2 respiration,CO2RESP,Short Term Carbon Mineralization,SHORT_TERM_CARBON_MINERALIZATION,NaOH,N/A,mmhos,4 days,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,SUPERSEDED,USDA,https://directives.sc.egov.usda.gov/OpenNonWebContent.aspx?content=44475.wba
L_MODV2_SOIL_CO_001,SOIL,cobalt,CO,Aqua Regia,AQUA_REGIA,Aqua Regia (3:1 mixture of hydrochloric (HCl) and nitric (HNO3) acids),1:10,m/v,20 min,ICP-OES / ICP-MS,ICP-OES_ICP-MS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,ISO,ISO standard 11466 or EPA 3051A
L_MODV2_SOIL_CO_002,SOIL,cobalt,CO,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-MS,ICP-MS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_CO_003,SOIL,cobalt,CO,DTPA,DTPA,,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CO_004,SOIL,cobalt,CO,EPA 200.7,EPA_200_7,,,,,,,MEASURED,mg/L,mg1L-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CO_005,SOIL,cobalt,CO,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_CO_006,SOIL,cobalt,CO,Mehlich 3 ,MEHLICH_3,,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CO_007,SOIL,cobalt,CO,EPA 3050A/B,EPA_3050A_B,"EPA 3050A/B Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_CO_008,SOIL,cobalt,CO,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_CO_009,SOIL,cobalt,CO,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_COLOR_001,SOIL,color,COLOR,Munsell Color Chart,MUNSELL_COLOR_CHART,,,,,Observation,OBSERVATION,OBSERVED,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CU_001,SOIL,copper,CU,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-MS,ICP-MS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_CU_002,SOIL,copper,CU,DTPA,DTPA,"DTPA (0.005 M DTPA, 0.01 M CaCl2 and 0.10 M Triethanolamine adjusted to pH 7.3)",1:02,m/v,120 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,"WERA-103, SERA 6","Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013, WERA-103. Method S-6.10"
L_MODV2_SOIL_CU_003,SOIL,copper,CU,DTPA-Sorbitol,DTPA-SORBITOL,"DTPA-Sorbitol (0.005 M DTPA, 0.01 M CaCl2  and 0.10 M Triethanolamine and 0.20M of Sorbitol, adjusted to pH 7.3 and .)",1:02,m/v,120 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,"WERA-103, SERA 6","Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013, WERA-103. Method S-6.12"
L_MODV2_SOIL_CU_004,SOIL,copper,CU,EDTA,EDTA,EDTA (0.04 M EDTA),01:02.5,m/v,120 min,AAS,AAS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,NZJAR,"R. G. McLaren , R. S. Swift & B. F. Quin (1984) EDTA-extractable copper, zinc, and manganese in soils of the Canterbury Plains, New Zealand Journal of Agricultural Research"
L_MODV2_SOIL_CU_005,SOIL,copper,CU,EPA 3050A/B,EPA_3050A_B,"EPA 3050A/B Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_CU_006,SOIL,copper,CU,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_CU_007,SOIL,copper,CU,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_CU_008,SOIL,copper,CU,EPA 6010B,EPA_6010B,,,,,,,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CU_009,SOIL,copper,CU,H3A-1,H3A-1,H3A-1 Extractant (H3A-1 0.0024 M citric acid + 0.004 M oxalic acid + 0.004 M malic acid at pH 3.75 ),1:10,m/v,10 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,"Haney, R. L., et al. ""Modifications to the new soil extractant H3A-1: A multinutrient extractant."" Communications in soil science and plant analysis 41.12 (2010): 1513-1523."
L_MODV2_SOIL_CU_010,SOIL,copper,CU,Hydrochloric Acid,HYDROCHLORIC_ACID,0.1 M HCl,1:04,m/v,30 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,"NCERA-13, NEC-1812","North Central Regional Research Publication No. 221 (Revised 2015), Chapter 9, pp 9.2-9.3"
L_MODV2_SOIL_CU_011,SOIL,copper,CU,Ion Exchange Resin,ION_EXCHANGE_RESIN,Resin Extraction - Unibest (0.5 M HCl),Saturated paste,in situ capsule,"4 days, 1 hour acid leaching",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,PROPRIETARY,VALID,"UniBest, Inc",https://www.unibestinc.com/about
L_MODV2_SOIL_CU_012,SOIL,copper,CU,Mehlich 1,MEHLICH_1,Mehlich 1 (0.05 M HCl + 0.0125 M H2SO4),1:05,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,SERA-6,"Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.2"
L_MODV2_SOIL_CU_013,SOIL,copper,CU,Mehlich 2,MEHLICH_2,Mehlich 2 (0.2N CH3COOH + 0.015N NH4F + 0.2N NH4Cl + 0.012N HCl),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCSU,"Mehlich A. 1978. New extractant for soil test evaluation of phosphorus, potassium, magnesium, calcium, sodium, manganese and zinc. Commun Soil Sci Plant Anal 9(6):477-92."
L_MODV2_SOIL_CU_014,SOIL,copper,CU,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,"SERA-6, NCERA-13, NEC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_CU_015,SOIL,copper,CU,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,v/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/L,mg1L-1,OFFICIAL,VALID,SERA-6,"Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_CU_016,SOIL,copper,CU,Morgan,MORGAN,Morgan (0.72 N NaOAc + 0.52 N CH3COOH),1:05,v/v,15 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NECC-1812,"Recommended Soil Testing Procedures for the Northeastern United States, NECC-1812 Publication No. 493, 3rd Edition, 2011, Chapter 5."
L_MODV2_SOIL_CU_017,SOIL,copper,CU,Modified Morgan,MODIFIED_MORGAN,Modified Morgan (0.62 N NH4OH + 1.25 N CH3COOH),1:10,m/v,15 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NECC-1812,"Recommended Soil Testing Procedures for the Northeastern United States, NECC-1812 Publication No. 493, 3rd Edition, 2011, Chapter 5."
L_MODV2_SOIL_CU_018,SOIL,copper,CU,Nitric Acid,NITRIC_ACID,,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_CU_019,SOIL,copper,CU,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,180 min,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_CU_020,SOIL,copper,CU,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_CU_021,SOIL,copper,CU,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_CU_022,SOIL,copper,CU,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_CU_023,SOIL,copper,CU,Modified Morgan,MODIFIED_MORGAN,Modified Morgan (0.62 N NH4OH + 1.25 N CH3COOH),1:10,m/v,15 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NECC-1812,"Recommended Soil Testing Procedures for the Northeastern United States, NECC-1812 Publication No. 493, 3rd Edition, 2011, Chapter 5."
L_MODV2_SOIL_CUINDEX_001,SOIL,copper index,CUINDEX,Mehlich 3 ICP,MEHLICH_3_ICP,,,,,"ICP, AAS",ICP_AAS,CALCULATION,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_DM_001,SOIL,deleterious material,DM,,,,,,,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_DINDEX_001,SOIL,dispersion index,DINDEX,,,,,,,Observation,OBSERVATION,CALCULATION,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_DON_001,SOIL,dissolved organic nitrogen (DON),DON,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_EC_001,SOIL,electrical conductivity,EC,EC Slurry,EC_SLURRY,Deionized Water,1:01,m/m,10 min,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,dS/m,dS1m-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-2.20"
L_MODV2_SOIL_EC_002,SOIL,electrical conductivity,EC,EC Slurry,EC_SLURRY,Deionized Water,1:02,m/m,10 min,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,dS/m,dS1m-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-2.20"
L_MODV2_SOIL_EC_003,SOIL,electrical conductivity,EC,EC Slurry,EC_SLURRY,Deionized Water,1:05,m/m,10 min,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,dS/m,dS1m-1,PROVISIONAL,VALID,,
L_MODV2_SOIL_EC_004,SOIL,electrical conductivity,EC,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,dS/m,dS1m-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_EC_005,SOIL,electrical conductivity,EC,,,,,,,Calculation,CALCULATION,MEASURED,dS/m,dS1m-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_ESI_001,SOIL,electrochemical stability index,ESI,,,,,,,Calculation,CALCULATION,CALCULATION,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_EMERSON_001,SOIL,emerson class,EMERSON,,,,,,,Calculation,CALCULATION,CALCULATION,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_ENR_001,SOIL,estimated nitrogen release,ENR,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,Calculation,CALCULATION,CALCULATION,mg/L,mg1L-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_XACIDT_001,SOIL,exchangeable acidity,XACIDT,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,,,,Titration,TITRATION,MEASURED,mEq/100g,mEq1hg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_XAL_001,SOIL,exchangeable aluminum,XAL,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,,,,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_XCAP_001,SOIL,exchangeable calcium percentage,XCAP,,,,,,,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_XH_001,SOIL,exchangeable hydrogen,XH,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,,,,Titration,TITRATION,MEASURED,mEq/100g,mEq1hg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_XHP_001,SOIL,exchangeable hydrogen percentage,XHP,,,,,,,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_XMGP_001,SOIL,exchangeable magnesium percentage,XMGP,,,,,,,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_XKP_001,SOIL,exchangeable potassium percentage,XKP,,,,,,,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_XNAP_001,SOIL,exchangeable sodium percentage,XNAP,Saturated paste,SATURATED_PASTE,Deionized Water,Saturated paste,Saturated Paste,4 hrs,Calculation,CALCULATION,MEASURED,%,prcnt,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_F_001,SOIL,fluoride,F,EPA 300.0,EPA_300_0,Deionized water - EPA 300.0,1:10,m/v,10 min,ICP-OES,ICP-OES,MEASURED,mg/L,mg1L-1,OFFICIAL,VALID,US-EPA,"EPA 300.0  Determination of Inorganic Anions by Ion Chromatography, Revision 2.1, August 1993."
L_MODV2_SOIL_GENOM_001,SOIL,genomics,GENOM,Genomics,GENOMICS,"16S rRNA, ITS, and shotgun metagenomics",1:10,,,,,MEASURED,None,none,OFFICIAL,VALID,Soil Health Institute,"Thompson, et al., 2017;"
